Geo Point,LGA_CODE
"-38.45193519013883, 143.59519328555032",21750
"-38.005623769177134, 145.19000471311796",22670
"-37.316931707522244, 144.05755722879329",22910
"-37.80484049386265, 145.2651883903961",24410
"-37.137507552702836, 145.00162315293295",24850
"-37.37800402068872, 148.2917145488202",22110
"-37.31642490184997, 143.37506817535933",25990
"-37.941794630115155, 145.01811001385147",20910
"-38.069012513849316, 144.4172004816011",22750
"-37.69297937998015, 144.62597868684819",24650
"-37.85790162750572, 145.033703531429",26350
"-36.225587486393955, 146.7230100783735",23350
"-35.12019705033961, 143.12546011310755",26610
"-35.751506888172216, 143.80389392886119",22250
"-37.98397474099825, 146.13148207674905",20830
"-37.819335947358134, 145.06331773833315",21110
"-37.729950734054725, 144.94891085314546",25250
"-37.761517237921446, 145.18852742032755",24210
"-38.26459360935159, 144.64664535876318",26080
"-37.53650609229183, 142.03311716552938",26260
"-37.71430265420784, 145.69696157090303",27450
"-37.88897673658382, 145.25854993529944",23670
"-38.621356312750066, 146.0759838028775",26170
"-37.98859555370116, 145.10507180442352",23430
"-37.81070819726498, 144.94384108638508",24600
"-36.06191139972969, 145.5503983009304",24900
"-36.35445168592527, 147.59885484488257",26670
"-36.051505806689796, 141.75255645062467",22980
"-37.632796703348404, 144.21560979980188",25150
"-37.547176814554405, 145.0776154078881",27070
"-37.89543864962831, 145.8886203158785",29399
"-37.733415652266316, 145.0143886874577",21890
"-36.76030488263582, 145.43499048140745",26430
"-36.82576865497938, 142.09040476815366",23190
"-37.74947371079857, 144.89579217886634",25060
"-36.844568165337414, 142.91970467380642",25810
"-36.85354504727319, 146.9741665545474",20110
"-37.9012172097337, 145.04260993316308",22310
"-37.31098807753665, 145.6301886141166",25620
"-38.50728832481522, 145.55815760179004",20740
"-37.00714374368024, 143.71383337056474",21670
"-36.15051956483025, 146.88258266076562",27170
"-36.34517878753812, 144.71638968011013",21370
"-38.10431609815586, 145.3090431084061",21610
"-38.134570629378224, 145.173812532704",22170
"-38.12245418019499, 142.49001332182397",25490
"-36.58829864442079, 146.42838979550453",26700
"-38.2042954644593, 143.1986400311833",21830
"-36.363911379882374, 143.86714970936836",23940
"-34.86921713630475, 141.68288101608417",24780
"-37.89714699485277, 145.14403349407556",24970
"-38.341655782136414, 145.0354511556045",25340
"-35.912407101041396, 143.00485437054417",21270
"-37.33563024404118, 144.61658273632622",24130
"-38.371474873900816, 142.51197285776232",26730
"-36.67556153442969, 141.2793518441186",26890
"-38.08310160023384, 145.57273359191385",21450
"-36.73442681977629, 144.42264958898008",22620
"-38.27459696102351, 146.4381021696711",23810
"-38.312295841783055, 144.05315785470637",26490
"-37.74764534883286, 144.80334819165319",21180
"-37.622849122364826, 145.23667180759685",25710
"-37.49284672881324, 143.78152872479825",20570
"-37.85468563872779, 144.82985628084074",23110
"-37.58914387756254, 144.82444628795045",23270
"-37.89391675620411, 146.91950486263514",26810
"-37.88664676737237, 144.6182127234741",27260
"-36.586958704546646, 146.0237751003365",21010
"-35.990070312625335, 142.41900575788668",27630
"-37.88206160691697, 143.8424768159839",22490
"-36.397014458059004, 145.38615733285243",22830
"-37.47267353189533, 142.84318643862025",20260
"-37.870469944424926, 141.3857504459327",22410
"-37.05077343499845, 144.1929300749445",25430
"-37.85209201981653, 144.96628825294337",25900
"-37.80194965231956, 144.99873744625012",27350
"-37.83021202578185, 145.15508035654247",26980
"-37.73036287632787, 145.085072949865",20660
"-37.20036940032488, 146.2068851341667",24250
"-37.795075953804236, 144.8776588633136",24330
