Year,LGA_CODE,LGA,0-4,5-Sep,Oct-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 and over,Total Population
2001,20110,Alpine,740,886,973,768,483,635,769,911,1065,976,910,819,686,603,556,449,268,212,12709
2001,20260,Ararat,669,798,846,658,489,575,693,796,864,872,879,752,657,565,550,432,237,212,11544
2001,20570,Ballarat,5545,5883,6080,6717,6110,5574,5582,5777,5917,5427,5100,3817,3290,2983,2998,2491,1615,1427,82333
2001,20660,Banyule,6974,7179,7647,8064,8258,8493,8615,8581,8736,8449,8391,6613,5095,4437,4331,3824,2379,1901,117967
2001,20740,Bass Coast,1421,1586,1630,1408,969,1186,1438,1596,1712,1674,1727,1695,1606,1611,1650,1175,689,470,25243
2001,20830,Baw Baw,2355,2846,3083,2682,1760,1868,2275,2565,2886,2624,2498,1913,1677,1346,1273,1001,654,544,35850
2001,20910,Bayside (Vic.),5190,5680,5763,5349,4387,4392,5747,6819,7289,6773,6618,5143,3701,3169,3518,3648,2670,2406,88262
2001,21010,Benalla,833,1076,1099,995,560,591,722,945,1091,1034,997,802,716,600,651,551,333,290,13886
2001,21110,Boroondara,8246,9295,9910,11065,12424,10870,10699,11386,11897,11655,11214,8131,6031,5135,5370,5039,3862,4017,156246
2001,21180,Brimbank,11554,12389,12112,12653,13053,13301,13350,12884,12703,12128,11429,8129,6283,5113,4182,3213,1629,1108,167213
2001,21270,Buloke,409,497,507,459,233,301,392,466,526,515,547,442,448,359,402,327,202,188,7220
2001,21370,Campaspe,2551,2740,2682,2460,1607,1964,2369,2556,2581,2459,2414,2118,1818,1563,1463,1210,793,663,36011
2001,21450,Cardinia,3584,4179,4041,3429,2486,2821,3640,3880,3803,3359,3031,2336,1719,1279,1190,905,590,448,46720
2001,21610,Casey,15648,16565,14743,13205,11518,13341,16184,16323,14954,12437,10386,7200,5330,4144,3487,2500,1432,1047,180444
2001,21670,Central Goldfields,731,850,923,777,550,615,727,817,870,898,930,822,827,668,714,572,331,266,12888
2001,21750,Colac Otway,1312,1544,1620,1419,1014,1142,1264,1406,1533,1475,1413,1164,996,868,885,757,497,377,20686
2001,21830,Corangamite,1225,1380,1383,1055,757,905,1074,1263,1282,1144,1115,1018,944,781,739,573,335,320,17293
2001,21890,Darebin,7716,6857,6031,6925,9541,11576,12444,10790,9282,7555,6713,5655,5691,5495,5407,4435,2728,2226,127067
2001,22110,East Gippsland,2179,2664,2877,2505,1543,1650,2185,2480,2800,2742,2886,2625,2423,2139,2000,1544,921,680,38843
2001,22170,Frankston,7733,8442,8178,7726,7351,7995,8813,8827,8543,7679,7415,5790,4768,3756,3698,2956,2002,1634,113306
2001,22250,Gannawarra,807,867,840,749,503,556,702,765,800,837,841,730,698,589,580,455,297,257,11873
2001,22310,Glen Eira,7209,6777,6776,6824,8279,9474,10524,9912,9403,8646,7980,5503,4703,4401,4944,4858,3354,2779,122346
2001,22410,Glenelg,1363,1588,1529,1306,880,1105,1360,1562,1574,1471,1417,1013,962,777,803,634,405,334,20083
2001,22490,Golden Plains,1017,1229,1281,1108,654,703,1091,1219,1312,1269,1203,912,666,469,318,222,124,75,14872
2001,22620,Greater Bendigo,5877,6533,6565,7017,5977,5488,5780,6244,6634,6340,5806,4354,3791,3419,3308,2636,1725,1577,89071
2001,22670,Greater Dandenong,7986,8231,8008,9302,9886,9911,9434,9276,9346,8935,8744,7090,5618,4894,4390,3341,1895,1437,127724
2001,22750,Greater Geelong,12146,13041,13203,13510,12223,12854,13166,13695,14033,13233,12669,9720,8543,7818,7751,6666,3964,3299,191534
2001,22830,Greater Shepparton,4289,4481,4428,4187,3371,3918,4187,4265,4255,3979,3673,2869,2437,2057,1860,1571,952,831,57610
2001,22910,Hepburn,809,1006,1077,897,577,646,847,1062,1134,1149,1083,909,790,658,606,442,313,263,14268
2001,22980,Hindmarsh,378,472,468,360,263,293,337,436,475,434,431,389,357,328,342,292,213,228,6496
2001,23110,Hobsons Bay,5764,5617,5157,4831,5232,6394,7188,7149,6752,5544,5123,3883,3467,3139,2918,2343,1336,1017,82854
2001,23190,Horsham,1243,1385,1289,1260,960,1107,1196,1322,1423,1265,1146,923,874,785,786,633,348,360,18305
2001,23270,Hume,11186,11956,11607,10221,9375,9944,11562,11603,10607,8947,8104,6006,4503,3522,2713,1798,878,615,135147
2001,23350,Indigo,881,1136,1221,1010,511,641,859,1105,1264,1170,1112,856,682,588,555,418,223,261,14493
2001,23430,Kingston (Vic.),7890,8093,7977,7979,8358,9889,10745,10330,10078,9094,8986,7170,6145,5259,5267,4534,2982,2287,133063
2001,23670,Knox,10076,11139,11304,11100,9973,10106,11464,11849,11937,11310,10458,7322,5254,3734,3296,2749,1815,1639,146525
2001,23810,Latrobe (Vic.),4735,5499,5519,5303,4187,4229,4779,5120,5365,5045,4638,3487,2905,2441,2396,1974,1146,805,69573
2001,23940,Loddon,492,575,638,502,299,326,462,527,644,634,670,522,539,480,432,328,228,175,8473
2001,24130,Macedon Ranges,2613,3281,3113,2827,1702,1813,2462,3083,3319,3009,2991,2151,1464,1067,898,684,457,391,37325
2001,24210,Manningham,5841,6550,7414,7961,7857,7295,7745,7876,8294,8053,8678,8080,6890,5004,3855,2688,1646,1467,113194
2001,24250,Mansfield,339,428,589,481,290,320,373,453,547,509,537,423,366,310,302,211,131,109,6718
2001,24330,Maribyrnong,3909,3340,2893,3385,4583,5850,6205,5421,4751,3859,3094,2461,2330,2251,2349,1934,1225,1008,60848
2001,24410,Maroondah,6725,6888,6812,6827,6637,7356,7998,7821,7439,6835,6802,5263,3939,3321,3150,2643,1713,1493,99662
2001,24600,Melbourne,2015,1459,1543,5393,10557,7984,5807,3771,2880,2672,2788,2198,1702,1290,1188,917,654,580,55398
2001,24650,Melton,4264,4488,4484,4330,3995,4545,4425,4194,4143,4102,3591,2070,1254,850,732,543,295,199,52504
2001,24700,Merri-bek,8120,7502,6783,7182,10971,12744,12778,11134,9545,7602,6835,5657,6162,6352,6194,5020,2828,2131,135540
2001,24780,Mildura,3737,3948,3839,3261,2652,3115,3488,3651,3732,3226,3098,2373,2170,1871,1807,1381,838,678,48865
2001,24850,Mitchell,2201,2498,2414,2115,1493,1692,2127,2373,2239,1994,1786,1291,962,732,678,463,249,219,27526
2001,24900,Moira,1782,1932,2052,1648,1179,1388,1585,1765,1850,1799,1785,1462,1493,1345,1257,961,625,496,26404
2001,24970,Monash,8016,8444,9146,11005,13438,12064,11811,11287,11140,10745,11385,10112,8938,7626,6639,5028,2889,2422,162135
2001,25060,Moonee Valley,6084,6017,5999,6037,7462,8654,8873,8337,7816,7159,6671,5415,4868,4263,4090,3453,1980,1615,104793
2001,25150,Moorabool,1876,2180,2114,1841,1254,1320,1795,2131,2021,1895,1752,1308,891,766,659,523,284,229,24839
2001,25340,Mornington Peninsula,7905,9030,9408,8456,6522,6952,8172,9099,9647,8694,8740,7722,6945,6511,6588,5389,3388,2406,131574
2001,25430,Mount Alexander,910,1220,1259,1029,665,733,968,1126,1346,1370,1294,1027,929,782,769,617,464,373,16881
2001,25490,Moyne,1039,1231,1329,1011,664,805,963,1128,1190,1166,1138,894,736,612,552,493,312,262,15525
2001,25620,Murrindindi,844,959,1051,780,514,714,951,1007,1122,1022,1004,837,680,531,501,365,214,161,13257
2001,25710,Nillumbik,4314,4950,5481,5152,3795,3318,4185,5043,5732,5322,4748,3011,1857,1111,907,651,450,417,60444
2001,25810,Northern Grampians,855,922,982,773,553,661,861,930,900,919,893,771,674,540,561,472,297,293,12857
2001,25900,Port Phillip,3434,2560,2241,2938,6642,11595,11310,7809,5999,4961,4769,3680,2987,2367,2275,1934,1293,1260,80054
2001,25990,Pyrenees,355,436,481,427,249,305,369,411,469,521,539,476,411,350,297,229,123,93,6541
2001,26080,Queenscliffe,133,184,205,152,99,118,148,184,212,242,199,190,190,206,241,189,164,170,3226
2001,26170,South Gippsland,1549,1868,2113,1795,1044,1278,1485,1775,1961,1973,1918,1578,1379,1142,1083,819,562,440,25762
2001,26260,Southern Grampians,1023,1181,1291,1227,738,808,977,1118,1209,1216,1209,974,838,752,800,673,450,389,16873
2001,26350,Stonnington,4181,3874,3939,4738,8298,9974,8804,6913,6181,5742,5810,4686,3854,3033,3004,2666,1856,1871,89424
2001,26430,Strathbogie,479,620,666,546,335,372,510,574,701,764,761,677,598,515,520,407,280,233,9558
2001,26490,Surf Coast,1406,1527,1626,1232,1051,1225,1446,1641,1791,1590,1432,1023,892,765,699,587,355,268,20556
2001,26610,Swan Hill,1593,1625,1681,1503,1197,1247,1358,1496,1520,1435,1330,1062,944,829,770,694,388,353,21025
2001,26670,Towong,360,447,472,366,172,232,352,439,498,492,508,409,381,284,282,231,149,142,6216
2001,26700,Wangaratta,1621,1925,2004,1851,1253,1484,1642,1812,2012,1881,1800,1505,1289,1081,1067,909,596,528,26260
