X,Y,LAST_YEAR,AADT_ALLVE
2499088.508,2409020.482,2007,34000
2514458.882,2413768.211,2020,10000
2389879.92,2499773.822,2013,550
2525318.705,2408339.643,2020,16000
2496478.243,2422239.191,1997,27000
2509412.17,2436860.182,,
2265999.697,2369246.616,2013,710
2511081.02,2372846.118,,
2517982.749,2392237.057,2012,6700
2499815.088,2417515.303,,
2508062.626,2402873.339,2020,20000
2750889.302,2441140.78,2013,230
2469403.479,2419067.693,2011,1200
2472553.809,2405800.414,,
2387110.642,2445875.687,2018,3200
2574729.186,2378295.727,2015,750
2513416.627,2408390.44,2012,7300
2614767.698,2369381.023,2015,580
2478325.982,2400069.641,,
2388410.568,2450663.604,,
2444538.639,2372022.823,1995,1100
2808873.176,2424246.088,2013,10
2570725.593,2342935.89,2013,780
2386214.691,2446829.437,,
2496607.409,2407344.964,2020,8800
2628695.303,2603478.207,2013,840
2767160.669,2590841.609,2013,280
2625640.639,2608808.099,2006,890
2395532.61,2436860.672,2011,6800
2498733.904,2412210.45,,
2498153.115,2409422.024,2020,10000
2517192.376,2407225.029,2012,10000
2506603.04,2393233.87,2007,17000
2522944.33,2410145.316,,
2510177.143,2409683.52,2010,15000
2515234.904,2415235.132,2020,4000
2493572.514,2414254.094,,
2522847.614,2413318.673,,
2497052.504,2408310.365,,
2495240.095,2411193.38,2005,5800
2501321.833,2407800.441,,
2518567.635,2392459.98,,
2505650.439,2399796.046,,
2536479.354,2436050.91,,
2492391.475,2416781.681,1986,13000
2728551.875,2495150.504,2013,60
2504560.416,2416402.467,,
2518678.475,2385478.133,2020,9600
2514638.233,2415265.817,,
2486123.135,2413521.741,,
2495537.312,2410068.424,2020,18000
2499110.493,2408474.988,,
2498560.527,2403731.732,,
2494629.839,2412371.251,1993,12000
2473909.925,2416603.649,2001,5100
2524846.098,2376334.363,2018,6900
2297779.236,2751647.598,2014,210
2355688.873,2422669.551,,
2531405.749,2395865.821,2018,5200
2514436.874,2407452.863,2009,21000
2517978.171,2489822.256,2013,800
2434462.775,2525682.927,,
2514954.048,2405100.135,,
2498443.941,2406191.308,,
2533646.505,2413203.757,,
2495719.156,2406340.038,,
2501109.813,2418254.676,,
2520595.453,2411080.766,,
2504337.641,2410221.672,,
2489459.736,2408203.987,1998,76000
2501801.107,2391818.886,,
2495764.438,2410619.386,2020,7600
2499179.802,2423123.069,2020,17000
2583477.124,2335306.537,,
2510312.454,2395944.986,2005,11000
2521432.645,2385592.603,,
2470768.781,2409318.364,,
2443262.023,2369372.553,2013,6200
2505771.335,2391154.415,,
2503124.213,2410437.233,2008,3300
2498354.225,2403810.462,2020,9500
2502835.291,2406780.831,1989,11000
2524033.623,2401897.739,,
2514530.411,2401984.544,2004,36000
2515787.048,2399340.655,,
2506908.771,2401766.748,2000,7300
2493295.05,2419009.809,2001,23000
2506940.457,2418462.56,1998,14000
2497676.959,2410624.864,1985,13000
2514953.613,2415221.064,,
2496609.788,2408205.143,,
2504780.536,2400949.119,,
2524880.154,2417420.709,,
2517246.756,2390014.31,,
2494533.275,2426312.142,,
2498112.109,2410278.879,1985,32000
2511511.61,2409190.203,,
2499932.151,2409195.866,,
2633513.713,2366634.673,2017,4500
2519389.589,2390635.534,2020,14000
2496590.69,2410095.321,2011,9200
2506774.559,2400880.009,,
2499125.011,2409328.972,2020,34000
2503860.96,2405827.584,,
2519521.971,2391498.863,2020,18000
2504644.331,2405338.805,2020,18000
2505087.758,2408376.31,1998,13000
2691116.906,2346220.308,2013,190
2512026.964,2417434.625,2019,32000
2731156.938,2486597.202,2013,190
2507218.88,2397273.247,,
2588951.132,2324531.8,2015,1500
2508408.87,2405584.542,,
2490273.37,2412233.531,2000,10000
2518567.635,2392459.98,,
2585032.4,2369582.215,2009,2800
2510095.963,2409130.956,2020,17000
2516970.793,2410280.716,1998,16000
2518705.321,2390090.288,,
2519991.484,2405989.979,2020,3900
2461711.465,2392862.971,2013,870
2512916.249,2391432.78,2020,14000
2651742.827,2571820.043,2013,1200
2512861.716,2391087.733,2009,13000
2500471.05,2418958.075,2011,12000
2621590.561,2370142.901,2012,1400
2443183.941,2372005.271,2020,23000
2626884.65,2310453.509,2013,190
2670181.544,2382575.686,2018,470
2508529.269,2406425.737,2020,12000
2508997.347,2385971.166,2009,8700
2676967.223,2383476.569,2018,3600
2512053.962,2393658.426,2013,26000
2525370.72,2404370.494,,
2518076.96,2392858.467,1990,8400
2663705.442,2576482.962,2013,690
2442419.731,2376561.281,,
2527324.264,2388390.993,,
2504664.437,2391297.182,,
2500200.498,2423457.345,1999,16000
2527277.029,2391059.77,2000,8600
2526817.902,2415077.351,,
2495618.097,2409241.377,2020,24000
2493233.307,2425301.355,,
2529442.732,2380816.107,2000,5600
2499089.931,2400437.606,,
2493785.369,2427481.537,2000,14000
2489378.083,2412677.546,,
2513549.096,2409089.441,2009,5300
2431523.045,2532031.992,,
2568251.489,2379395.87,,
2430552.869,2531994.426,2000,1500
2486676.821,2408015.513,2000,18000
2527394.366,2388829.203,2000,11000
2489378.083,2412677.546,,
2668033.171,2375678.54,,
2513937.978,2399326.44,,
2533378.377,2419541.024,,
2450589.51,2426304.841,2000,7800
2729134.455,2409798.71,2012,140
2527324.264,2388390.993,,
2488248.114,2421559.68,2000,7700
2515061.552,2387831.897,2000,3000
2509307.283,2385208.586,2011,8800
2504381.078,2402188.063,,
2527407.058,2415547.208,,
2443409.63,2370932.164,2009,9200
2535504.455,2379784.621,2018,230
2496797.298,2419306.011,2003,20000
2732334.709,2404235.329,2017,2800
2490240.834,2422121.856,,
2611591.307,2345908.918,2013,410
2496957.675,2411156.975,,
2511209.634,2401857.538,2020,
2520013.093,2408824.575,2009,8800
2512829.978,2401679.809,2020,17000
2514508.323,2397985.251,,
2519154.655,2390265.154,,
2509625.83,2384762.12,,
2498310.3,2403521.873,2020,10000
2497727.015,2409789.113,1998,
2499699.117,2407397.841,2020,
2760025.913,2399674.957,,
2527289.705,2388180.716,2000,10000
2493166.879,2426424.468,2000,12000
2501079.233,2400097.973,,
2431523.045,2532031.992,,
2325641.244,2642665.479,2013,390
2515919.489,2397765.424,,
2499468.234,2411833.915,2013,17000
2656445.904,2545571.529,2014,1800
2511111.138,2410630.25,2000,12000
2664002.236,2328391.551,2015,160
2622748.339,2392360.593,2015,120
2513961.199,2398097.439,2020,21000
2443658.301,2371634.314,2009,6100
2683640.322,2586935.368,2013,1000
2504943.41,2400817.345,2001,6400
2475796.675,2592793.452,,
2344994.731,2455483.189,,
2506141.921,2424792.458,2020,31000
2512432.086,2399048.786,2011,21000
2514199.655,2399747.488,2020,30000
2502752.28,2407047.246,,
2451959.697,2427826.08,,
2515573.535,2409770.73,2020,31000
2493877.121,2408436.682,,
2485818.496,2420220.209,,
2500052.305,2418994.725,2020,12000
2425534.125,2434388.655,,
2487856.903,2411302.544,,
2471875.496,2400837.729,2020,18000
2514663.635,2392047.083,2005,8500
2509582.83,2365280.653,2000,17000
2524662.476,2366644.094,,
2527329.732,2388424.26,,
2510102.018,2423628.824,2000,18000
2510156.167,2396995.749,,
2521663.005,2388664.346,,
2608090.228,2293605.918,2012,280
