Sex,Age,5-year Age/Sex group,15-year Age/Sex group,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Males,0,Males - 0 to 4,Males - 0 to 14,"36,176","38,402","39,441","39,312","39,972","42,495","40,194","40,138","39,741","38,858","39,028","38,455","40,309","41,658","42,477","42,929","43,449","43,926","44,334","44,809","45,391","46,003","46,652","47,346","48,081","48,832","49,689","50,570","51,446","52,301","53,110","53,857","54,537","55,140","55,661","56,110","56,491","56,813","57,092","57,346","57,601"
Males,1,Males - 0 to 4,Males - 0 to 14,"36,642","36,817","38,831","39,896","39,876","41,061","42,633","40,589","40,377","39,663","38,623","39,050","39,241","40,931","41,972","42,887","43,349","43,878","44,356","44,763","45,238","45,820","46,431","47,080","47,774","48,510","49,258","50,114","50,993","51,868","52,722","53,532","54,279","54,959","55,563","56,084","56,534","56,916","57,240","57,521","57,776"
Males,2,Males - 0 to 4,Males - 0 to 14,"36,174","37,295","37,688","39,427","40,604","40,668","41,568","42,796","40,978","40,492","39,246","38,707","39,786","39,860","41,249","42,378","43,301","43,772","44,301","44,779","45,186","45,661","46,243","46,854","47,503","48,197","48,931","49,678","50,532","51,409","52,283","53,138","53,948","54,695","55,376","55,980","56,502","56,953","57,336","57,661","57,943"
Males,3,Males - 0 to 4,Males - 0 to 14,"36,094","36,850","38,110","38,386","40,057","41,423","41,303","41,882","42,907","41,149","39,993","39,416","39,417","40,361","40,198","41,652","42,790","43,722","44,193","44,722","45,199","45,607","46,081","46,663","47,274","47,924","48,616","49,348","50,094","50,946","51,823","52,698","53,552","54,362","55,110","55,791","56,395","56,918","57,370","57,754","58,081"
Males,4,Males - 0 to 4,Males - 0 to 14,"35,727","36,882","37,598","38,798","39,260","40,698","42,085","41,832","42,126","42,774","40,746","40,183","40,103","39,972","40,679","40,613","42,060","43,206","44,137","44,607","45,137","45,614","46,022","46,497","47,079","47,690","48,338","49,029","49,760","50,505","51,356","52,234","53,108","53,962","54,772","55,520","56,201","56,806","57,330","57,782","58,168"
Males,5,Males - 5 to 9,Males - 0 to 14,"35,624","36,424","37,538","38,301","39,562","40,235","41,258","42,504","42,207","42,179","42,116","40,950","40,835","40,642","40,291","41,065","41,030","42,471","43,616","44,546","45,016","45,546","46,024","46,432","46,907","47,489","48,099","48,746","49,436","50,165","50,910","51,762","52,639","53,513","54,367","55,177","55,925","56,607","57,212","57,737","58,190"
Males,6,Males - 5 to 9,Males - 0 to 14,"34,339","36,046","37,179","38,173","38,893","40,293","40,706","41,564","42,715","42,365","41,593","42,290","41,545","41,311","40,933","40,639","41,421","41,414","42,840","43,983","44,912","45,382","45,912","46,390","46,798","47,274","47,855","48,464","49,109","49,798","50,527","51,272","52,123","53,000","53,873","54,727","55,537","56,285","56,967","57,572","58,098"
Males,7,Males - 5 to 9,Males - 0 to 14,"33,973","34,688","36,492","37,850","38,824","39,588","40,734","40,983","41,805","42,748","41,982","41,702","42,855","42,004","41,597","41,279","40,990","41,781","41,792","43,204","44,346","45,273","45,744","46,274","46,753","47,162","47,636","48,216","48,824","49,468","50,156","50,885","51,630","52,481","53,357","54,231","55,084","55,894","56,642","57,324","57,930"
Males,8,Males - 5 to 9,Males - 0 to 14,"33,434","34,414","34,989","36,921","38,502","39,519","40,129","41,055","41,174","41,966","42,313","42,090","42,253","43,294","42,292","41,931","41,628","41,344","42,135","42,165","43,564","44,705","45,631","46,102","46,633","47,112","47,520","47,994","48,572","49,179","49,823","50,511","51,240","51,985","52,836","53,712","54,584","55,437","56,247","56,995","57,677"
Males,9,Males - 5 to 9,Males - 0 to 14,"33,110","33,836","34,834","35,408","37,272","39,295","39,989","40,507","41,360","41,275","41,603","42,429","42,627","42,688","43,580","42,625","42,271","41,982","41,696","42,489","42,535","43,922","45,062","45,987","46,459","46,990","47,468","47,876","48,349","48,926","49,533","50,177","50,866","51,595","52,340","53,190","54,065","54,938","55,791","56,600","57,349"
Males,10,Males - 10 to 14,Males - 0 to 14,"33,482","33,459","34,202","35,274","35,781","37,708","39,754","40,367","40,843","41,526","40,903","41,743","42,954","43,051","42,982","43,908","42,964","42,616","42,335","42,047","42,841","42,903","44,278","45,418","46,343","46,815","47,345","47,823","48,230","48,702","49,280","49,887","50,531","51,220","51,949","52,694","53,544","54,419","55,291","56,144","56,953"
Males,11,Males - 10 to 14,Males - 0 to 14,"33,362","33,865","33,842","34,578","35,709","36,220","38,128","40,060","40,806","41,079","41,240","40,985","42,272","43,379","43,357","43,324","44,252","43,318","42,970","42,696","42,406","43,201","43,280","44,642","45,781","46,706","47,177","47,707","48,185","48,591","49,063","49,642","50,249","50,893","51,582","52,311","53,056","53,906","54,781","55,653","56,505"
Males,12,Males - 10 to 14,Males - 0 to 14,"33,816","33,766","34,314","34,228","34,973","36,119","36,609","38,451","40,418","40,998","40,937","41,384","41,508","42,694","43,688","43,695","43,671","44,601","43,671","43,322","43,055","42,764","43,559","43,654","45,005","46,143","47,067","47,538","48,067","48,544","48,951","49,424","50,002","50,610","51,254","51,943","52,672","53,417","54,267","55,142","56,014"
Males,13,Males - 10 to 14,Males - 0 to 14,"34,159","34,225","34,176","34,739","34,628","35,417","36,441","36,999","38,714","40,733","40,892","41,066","42,052","42,057","43,129","44,143","44,157","44,140","45,068","44,141","43,792","43,531","43,239","44,036","44,146","45,486","46,623","47,545","48,016","48,544","49,022","49,430","49,904","50,483","51,090","51,735","52,424","53,154","53,899","54,750","55,624"
Males,14,Males - 10 to 14,Males - 0 to 14,"34,585","34,605","34,729","34,611","35,127","35,041","35,835","36,769","37,376","38,904","40,715","41,105","42,046","42,858","42,745","43,832","44,849","44,870","44,855","45,780","44,857","44,508","44,254","43,961","44,760","44,886","46,214","47,350","48,271","48,741","49,271","49,750","50,159","50,634","51,214","51,823","52,468","53,158","53,888","54,635","55,486"
Males,15,Males - 15 to 19,Males - 15 to 29,"34,808","35,144","35,201","35,302","35,220","35,861","35,662","36,326","37,182","37,604","38,813","40,965","42,395","43,108","43,791","43,695","44,785","45,804","45,826","45,814","46,737","45,818","45,469","45,223","44,930","45,732","45,872","47,188","48,323","49,243","49,715","50,247","50,728","51,138","51,614","52,196","52,806","53,453","54,144","54,876","55,624"
Males,16,Males - 15 to 19,Males - 15 to 29,"35,777","35,518","35,869","36,010","36,166","36,119","36,536","36,306","36,847","37,395","37,592","39,052","42,698","43,855","44,431","45,130","45,044","46,140","47,156","47,179","47,169","48,090","47,172","46,821","46,583","46,286","47,090","47,249","48,552","49,689","50,612","51,085","51,620","52,102","52,514","52,992","53,576","54,188","54,837","55,530","56,264"
